xml_filename,image_filename,class_name,xmin,ymin,xmax,ymax,width,height,area,aspect_ratio
crazing_1.xml,crazing_1.jpg,crazing,2.0,2.0,193.0,194.0,191.0,192.0,36672.0,0.9947916666666666
crazing_10.xml,crazing_10.jpg,crazing,60.0,20.0,194.0,69.0,134.0,49.0,6566.0,2.7346938775510203
crazing_10.xml,crazing_10.jpg,crazing,9.0,84.0,197.0,198.0,188.0,114.0,21432.0,1.6491228070175439
crazing_100.xml,crazing_100.jpg,crazing,1.0,10.0,108.0,121.0,107.0,111.0,11877.0,0.963963963963964
crazing_100.xml,crazing_100.jpg,crazing,35.0,1.0,200.0,83.0,165.0,82.0,13530.0,2.0121951219512195
crazing_100.xml,crazing_100.jpg,crazing,120.0,109.0,196.0,198.0,76.0,89.0,6764.0,0.8539325842696629
crazing_100.xml,crazing_100.jpg,crazing,8.0,112.0,164.0,190.0,156.0,78.0,12168.0,2.0
crazing_101.xml,crazing_101.jpg,crazing,40.0,12.0,187.0,152.0,147.0,140.0,20580.0,1.05
crazing_102.xml,crazing_102.jpg,crazing,2.0,2.0,144.0,153.0,142.0,151.0,21442.0,0.9403973509933775
crazing_102.xml,crazing_102.jpg,crazing,150.0,85.0,199.0,178.0,49.0,93.0,4557.0,0.5268817204301075
crazing_103.xml,crazing_103.jpg,crazing,1.0,18.0,130.0,99.0,129.0,81.0,10449.0,1.5925925925925926
crazing_103.xml,crazing_103.jpg,crazing,126.0,29.0,198.0,130.0,72.0,101.0,7272.0,0.7128712871287128
crazing_103.xml,crazing_103.jpg,crazing,1.0,107.0,86.0,191.0,85.0,84.0,7140.0,1.0119047619047619
crazing_104.xml,crazing_104.jpg,crazing,4.0,4.0,110.0,136.0,106.0,132.0,13992.0,0.803030303030303
crazing_104.xml,crazing_104.jpg,crazing,142.0,10.0,197.0,56.0,55.0,46.0,2530.0,1.1956521739130435
crazing_104.xml,crazing_104.jpg,crazing,137.0,42.0,199.0,116.0,62.0,74.0,4588.0,0.8378378378378378
crazing_104.xml,crazing_104.jpg,patches,78.0,169.0,118.0,200.0,40.0,31.0,1240.0,1.2903225806451613
crazing_105.xml,crazing_105.jpg,crazing,4.0,3.0,113.0,134.0,109.0,131.0,14279.0,0.8320610687022901
crazing_105.xml,crazing_105.jpg,crazing,133.0,1.0,197.0,149.0,64.0,148.0,9472.0,0.43243243243243246
crazing_105.xml,crazing_105.jpg,crazing,59.0,1.0,197.0,45.0,138.0,44.0,6072.0,3.1363636363636362
crazing_105.xml,crazing_105.jpg,inclusion,5.0,91.0,121.0,125.0,116.0,34.0,3944.0,3.411764705882353
crazing_106.xml,crazing_106.jpg,crazing,1.0,24.0,127.0,101.0,126.0,77.0,9702.0,1.6363636363636365
crazing_106.xml,crazing_106.jpg,crazing,16.0,120.0,189.0,156.0,173.0,36.0,6228.0,4.805555555555555
crazing_106.xml,crazing_106.jpg,crazing,113.0,152.0,177.0,188.0,64.0,36.0,2304.0,1.7777777777777777
crazing_107.xml,crazing_107.jpg,crazing,112.0,46.0,199.0,138.0,87.0,92.0,8004.0,0.9456521739130435
crazing_107.xml,crazing_107.jpg,crazing,2.0,1.0,105.0,79.0,103.0,78.0,8034.0,1.3205128205128205
crazing_107.xml,crazing_107.jpg,crazing,11.0,146.0,127.0,199.0,116.0,53.0,6148.0,2.188679245283019
crazing_108.xml,crazing_108.jpg,crazing,3.0,21.0,69.0,149.0,66.0,128.0,8448.0,0.515625
crazing_108.xml,crazing_108.jpg,crazing,90.0,115.0,198.0,193.0,108.0,78.0,8424.0,1.3846153846153846
crazing_109.xml,crazing_109.jpg,crazing,77.0,1.0,199.0,42.0,122.0,41.0,5002.0,2.975609756097561
crazing_109.xml,crazing_109.jpg,crazing,39.0,38.0,198.0,87.0,159.0,49.0,7791.0,3.2448979591836733
crazing_109.xml,crazing_109.jpg,crazing,32.0,88.0,145.0,131.0,113.0,43.0,4859.0,2.627906976744186
